Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Playoff MVP Eligibility,Tot_OFF,Tot_DEF
Bam Adebayo,C,23,37.0,7.3,15.1,0.481,0.0,0.1,0.0,7.3,15.0,0.485,0.481,3.4,4.1,0.821,2.7,7.1,9.9,3.7,0.9,0.7,2.7,3.1,17.9,Yes,24.299999999999997,8.7
Malcolm Brogdon,PG,19,24.9,4.3,10.3,0.418,1.7,4.6,0.379,2.6,5.7,0.45,0.503,1.5,1.8,0.829,0.7,2.8,3.5,2.9,0.2,0.3,1.0,1.5,11.9,Yes,15.5,3.3
Bruce Brown,SF,20,26.5,4.5,8.8,0.511,0.9,2.9,0.316,3.6,6.0,0.605,0.563,2.1,2.5,0.857,0.8,3.3,4.0,1.9,1.1,0.5,1.2,2.5,12.0,Yes,14.700000000000001,4.9
Jaylen Brown,SF,20,37.6,9.1,18.3,0.496,2.0,5.7,0.354,7.1,12.6,0.56,0.551,2.6,3.7,0.689,1.3,4.4,5.6,3.4,1.1,0.4,3.3,3.1,22.7,Yes,27.4,5.9
Jimmy Butler,PF,22,39.7,9.4,20.1,0.468,1.3,3.5,0.359,8.1,16.5,0.492,0.5,6.8,8.5,0.806,2.1,4.3,6.5,5.9,1.8,0.6,1.9,1.7,26.9,Yes,34.9,6.699999999999999
Kentavious Caldwell-Pope,SG,20,33.6,3.7,8.1,0.457,1.8,4.6,0.38,2.0,3.5,0.557,0.565,1.5,1.8,0.829,0.7,2.6,3.3,1.6,1.3,0.7,0.8,2.4,10.6,Yes,12.899999999999999,4.6
Anthony Davis,C,16,38.0,8.3,15.9,0.52,0.3,0.9,0.333,7.9,14.9,0.531,0.53,5.8,6.8,0.852,2.4,11.7,14.1,2.6,1.4,3.1,2.1,2.9,22.6,Yes,27.6,16.2
Aaron Gordon,PF,20,35.7,5.1,9.8,0.518,0.9,2.3,0.391,4.2,7.5,0.557,0.564,2.3,3.5,0.652,2.5,3.6,6.0,2.6,0.6,0.7,1.0,2.9,13.3,Yes,18.4,4.9
Rui Hachimura,PF,16,24.3,4.6,8.2,0.557,1.2,2.4,0.487,3.4,5.8,0.587,0.63,1.9,2.1,0.882,0.6,3.1,3.6,0.6,0.5,0.3,0.6,1.6,12.2,Yes,13.399999999999999,3.9000000000000004
Al Horford,C,20,30.9,2.6,6.6,0.386,1.4,4.7,0.298,1.2,1.9,0.605,0.492,0.2,0.2,0.75,1.5,5.7,7.2,3.0,1.1,1.7,0.6,2.4,6.7,Yes,11.2,8.5
LeBron James,PF,16,38.7,9.2,18.4,0.498,1.8,6.6,0.264,7.4,11.8,0.63,0.546,4.4,5.8,0.761,1.6,8.3,9.9,6.5,1.1,1.1,2.5,1.8,24.5,Yes,32.6,10.5
Nikola Jokić,C,20,39.5,11.4,20.7,0.548,1.8,3.8,0.461,9.6,16.9,0.568,0.591,5.6,7.0,0.799,3.5,10.0,13.5,9.5,1.1,1.0,3.5,3.5,30.0,Yes,43.0,12.1
Kyle Lowry,PG,23,26.0,3.2,7.6,0.425,1.4,3.8,0.375,1.8,3.7,0.477,0.52,1.3,1.4,0.939,0.5,3.0,3.5,4.4,1.0,0.6,1.7,2.6,9.2,Yes,14.1,4.6
Caleb Martin,SF,23,30.2,4.7,9.0,0.529,1.9,4.5,0.423,2.8,4.4,0.637,0.636,1.3,1.5,0.829,1.2,4.3,5.4,1.6,0.9,0.4,1.0,2.4,12.7,Yes,15.499999999999998,5.6
Jamal Murray,PG,20,40.0,9.7,20.5,0.473,3.0,7.5,0.396,6.8,13.1,0.517,0.545,3.8,4.1,0.926,0.8,4.9,5.7,7.1,1.5,0.3,2.5,2.1,26.1,Yes,34.0,6.7
Michael Porter Jr.,SF,20,32.7,5.0,11.7,0.423,2.3,6.6,0.351,2.7,5.2,0.515,0.521,1.2,1.5,0.793,1.0,7.1,8.1,1.6,0.5,0.6,0.5,2.1,13.4,Yes,16.0,8.2
Austin Reaves,SG,16,36.2,5.6,12.1,0.464,2.4,5.5,0.443,3.2,6.6,0.481,0.564,3.2,3.6,0.895,1.3,3.2,4.4,4.6,0.6,0.2,1.6,2.4,16.9,Yes,22.8,4.0
D'Angelo Russell,PG,16,29.6,5.2,12.2,0.426,1.7,5.4,0.31,3.5,6.8,0.519,0.495,1.3,1.6,0.769,0.6,2.3,2.9,4.6,0.7,0.3,1.8,2.0,13.3,Yes,18.5,3.3
Dennis Schröder,PG,16,26.1,2.6,6.4,0.398,0.8,2.4,0.333,1.8,4.0,0.438,0.461,1.4,1.8,0.821,0.2,1.8,1.9,2.9,1.0,0.2,1.3,2.5,7.4,Yes,10.5,3.0
Marcus Smart,PG,20,34.0,5.1,11.2,0.453,2.2,6.1,0.361,2.9,5.1,0.564,0.552,2.6,3.3,0.8,1.1,3.0,4.0,5.1,1.3,0.3,2.3,1.9,14.9,Yes,21.1,4.6
Max Strus,SF,23,28.2,3.3,8.2,0.402,1.9,5.9,0.319,1.4,2.3,0.611,0.516,0.9,1.1,0.8,0.6,3.0,3.6,1.4,0.3,0.3,0.3,2.0,9.3,Yes,11.3,3.6
Jayson Tatum,SF,20,40.0,9.3,20.2,0.458,2.7,8.2,0.323,6.6,12.0,0.55,0.524,6.0,6.9,0.876,1.3,9.2,10.5,5.3,1.1,1.1,2.8,2.2,27.2,Yes,33.8,11.399999999999999
Gabe Vincent,PG,22,30.5,4.5,11.2,0.402,2.3,6.1,0.378,2.2,5.0,0.432,0.506,1.4,1.5,0.882,0.4,1.0,1.4,3.5,0.9,0.2,1.4,3.0,12.7,Yes,16.599999999999998,2.1
Derrick White,SG,20,29.7,4.7,9.2,0.505,2.5,5.5,0.455,2.2,3.7,0.581,0.641,1.6,1.7,0.912,0.7,2.3,3.0,2.1,0.6,1.0,0.9,1.9,13.4,Yes,16.2,3.9
Robert Williams,C,20,20.9,3.4,4.3,0.788,0.0,0.1,0.0,3.4,4.2,0.798,0.788,1.0,1.4,0.679,1.8,4.2,6.0,1.0,0.5,1.3,0.8,2.2,7.7,Yes,10.5,6.0
